city,longitude,latitude,rain_14d_mm,peak_wind_kmh,min_mslp_hpa
المكلا,49.12,14.53,1.3,19,1007
حديبو (سقطرى),54.02,12.55,8.6,30,1009
صلالة,54.09,17.01,1.4,21,1007
عدن,45.02,12.79,0.3,25,1005
كوتشي (الهند),76.27,9.97,59.4,18,1009
مومباي,72.86,19.02,19.2,29,1006
