city,longitude,latitude,rain_14d_mm,peak_wind_kmh,min_mslp_hpa
المكلا,49.12,14.53,1.0,19,1007
حديبو (سقطرى),54.02,12.55,13.9,27,1009
صلالة,54.09,17.01,0.7,21,1007
عدن,45.02,12.79,0.2,28,1005
كوتشي (الهند),76.27,9.97,29.6,16,1009
مومباي,72.86,19.02,12.2,27,1006
