city,longitude,latitude,rain_14d_mm,peak_wind_kmh,min_mslp_hpa
المكلا,49.12,14.53,0.9,20,1007
حديبو (سقطرى),54.02,12.55,15.4,26,1009
صلالة,54.09,17.01,0.4,18,1007
عدن,45.02,12.79,0.1,31,1005
كوتشي (الهند),76.27,9.97,67.4,15,1010
مومباي,72.86,19.02,8.7,26,1008
