city,longitude,latitude,rain_14d_mm,peak_wind_kmh,min_mslp_hpa
المكلا,49.12,14.53,0.6,19,1007
حديبو (سقطرى),54.02,12.55,14.0,28,1009
صلالة,54.09,17.01,0.6,21,1007
عدن,45.02,12.79,0.4,33,1005
كوتشي (الهند),76.27,9.97,74.9,16,1010
مومباي,72.86,19.02,15.2,25,1007
